Student_ID,Student_Name,Email,Course_ID,Course_Name,Exam_Type,Score,Attendance_Date,Attendance_Status
1,Ronald Cox,dominique02@yahoo.com,201,Mathematics,Midterm,97,2025-07-01,absent
1,Ronald Cox,dominique02@yahoo.com,201,Mathematics,Final,65,2025-07-05,present
1,Ronald Cox,dominique02@yahoo.com,205,History,Midterm,58,2025-07-19,present
1,Ronald Cox,dominique02@yahoo.com,205,History,Final,93,2025-07-05,present
2,Jennifer Wilson,julielyons@parker.org,205,History,Midterm,52,2025-06-10,present
2,Jennifer Wilson,julielyons@parker.org,205,History,Final,55,2025-06-29,present
2,Jennifer Wilson,julielyons@parker.org,204,Biology,Midterm,64,2025-07-24,present
2,Jennifer Wilson,julielyons@parker.org,204,Biology,Final,85,2025-07-25,present
3,Daniel Hernandez DVM,johnsonallison@gmail.com,205,History,Midterm,64,2025-06-24,absent
3,Daniel Hernandez DVM,johnsonallison@gmail.com,205,History,Final,87,2025-06-29,absent
3,Daniel Hernandez DVM,johnsonallison@gmail.com,204,Biology,Midterm,50,2025-07-15,present
3,Daniel Hernandez DVM,johnsonallison@gmail.com,204,Biology,Final,94,2025-07-20,absent
4,Taylor Allen,martha43@salas.com,203,Physics,Midterm,59,2025-07-11,present
4,Taylor Allen,martha43@salas.com,203,Physics,Final,98,2025-06-24,absent
4,Taylor Allen,martha43@salas.com,205,History,Midterm,56,2025-06-06,present
4,Taylor Allen,martha43@salas.com,205,History,Final,74,2025-07-12,present
5,Ronald Hicks,lowerydonald@hotmail.com,203,Physics,Midterm,88,2025-07-21,absent
5,Ronald Hicks,lowerydonald@hotmail.com,203,Physics,Final,52,2025-07-30,absent
5,Ronald Hicks,lowerydonald@hotmail.com,205,History,Midterm,84,2025-06-23,present
5,Ronald Hicks,lowerydonald@hotmail.com,205,History,Final,74,2025-07-20,present
6,Laurie Adams,nathanandrews@yahoo.com,205,History,Midterm,90,2025-07-20,absent
6,Laurie Adams,nathanandrews@yahoo.com,205,History,Final,86,2025-07-29,present
6,Laurie Adams,nathanandrews@yahoo.com,203,Physics,Midterm,95,2025-06-04,present
